,Product URL,Product Name,Product Price,Rating,Number of Reviews
50,https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,032",4.4 out of 5 stars,"16,733"
51,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,569,4.0 out of 5 stars,315
52,https://www.amazon.in/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,899,4.0 out of 5 stars,432
53,https://www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),895,4.3 out of 5 stars,156
54,https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"1,199",4.1 out of 5 stars,"1,221"
55,https://www.amazon.in/Lavie-Womens-Ushawu-Satchel-Handbag/dp/B0B3J9J9CK,Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,"1,059",4.1 out of 5 stars,"6,412"
56,https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.0 out of 5 stars,"1,234"
57,https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),376,4.3 out of 5 stars,"9,121"
58,https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",649,3.5 out of 5 stars,33
59,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1 out of 5 stars,"8,997"
60,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",398,4.1 out of 5 stars,"8,997"
61,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),599,3.8 out of 5 stars,141
62,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758,Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,836,4.3 out of 5 stars,"1,554"
63,https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",499,3.9 out of 5 stars,"10,167"
64,https://www.amazon.in/Expandable-Backpack-Water-resistant-Business-Charging/dp/B0B6FNB898,Arctic Hunter Laptop Bag Expandable Backpack for 16 inch Lapotp 40L Travel Backpack Water-resistant Business School Backpack with USB Port for Men and Women,"3,514",4.5 out of 5 stars,52
65,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,649,3.8 out of 5 stars,466
66,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",599,3.8 out of 5 stars,765
67,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0101/dp/B07G44G1DC,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,990,4.4 out of 5 stars,"1,770"
68,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),599,3.8 out of 5 stars,141
69,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,3.8 out of 5 stars,806
70,https://www.amazon.in/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76,Arctic Hunter Backpack Premium Business Backpack for Men Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Padded College Backpack for Men,"5,699",4.3 out of 5 stars,98
71,https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC,Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,"1,399",4.1 out of 5 stars,392
72,https://www.amazon.in/Purple-Tree-Multifunction-Waterproof-Compartment/dp/B0BKSXQBXX,"The Purple Tree Multifunction Waterproof Laptop Travel Backpack with Shoe Compartment, Shoulder Bag, 35 L Laptop Backpack with USB Charging, Flight Cabin Backpack, Antitheft Zipper Bag","2,499",3.7 out of 5 stars,20
73,https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,799,4.0 out of 5 stars,"13,288"
74,https://www.amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag,369,4.2 out of 5 stars,"7,546"
75,https://www.amazon.in/Mokobara-Transit-Backpack-Laptop-Sunray/dp/B09V7R98XC,MOKOBARA The Transit Backpack Laptop Bag for Men and Women,"5,999",4.5 out of 5 stars,591
76,https://www.amazon.in/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),225,3.7 out of 5 stars,"3,097"
77,https://www.amazon.in/ADISA-Women-Girls-Floral-SL5072-CRE_Cream/dp/B09B56BCXR,ADISA Women Girls Floral Print Sling Bag,495,4.3 out of 5 stars,511
78,https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589,3.7 out of 5 stars,358
79,https://www.amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,879,4.2 out of 5 stars,312
80,https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7,"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",259,4.0 out of 5 stars,396
81,https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5,Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.2 out of 5 stars,"19,480"
82,https://www.amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ,"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey","1,946",4.4 out of 5 stars,"3,365"
83,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK,Tabelito® Casual 15.6 Inch (39.6 cm) Water Repellent Laptop Backpack Office College School Business Travel Bag Suitable for Men Women Boys & Girls Capacity 25 Litre (Grey),549,4.1 out of 5 stars,"1,734"
